1, OptIX-LA, Not an exchange, IPv4, Unicast, Unknown, 200.61.194.0/24, 0
1820, NAP CABASE Posadas, Active, IPv4, Unicast, Unknown, 200.115.83.0 /24 , 12
1821, NAP CABASE Parana, Planned, IPv4, Unicast, Unknown, , 0
1822, NAP CABASE Bariloche, Active, IPv4, Unicast, Unknown, , 6
1823, NAP CABASE Puerto Madryn, Active, IPv4, Unicast, Unknown, 200.115.84.0 /24, 7
1824, TOT NIX, Not an exchange, IPv4, Unicast, Unknown, , 2
1825, TIG-NIX, Not an exchange, IPv4, Unicast, Unknown, , 17
1826, CSL NIX, Not an exchange, IPv4, Unicast, Unknown, , 7
1827, SBN IX, Not an exchange, IPv4, Unicast, Unknown, , 12
1828, JASTEL IX, Not an exchange, IPv4, Unicast, Unknown, , 11
1829, BB Connect IX, Not an exchange, IPv4, Unicast, Unknown, , 5
1830, TCCT IX, Not an exchange, IPv4, Unicast, Unknown, , 10
1831, Symphony IX, Not an exchange, IPv4, Unicast, Unknown, , 7
1832, PTT Curitiba, Active, IPv4, Unicast, Available, , 71
1833, PTT Maringa, Active, IPv4, Unicast, Available, , 25
1834, BBIX, Defunct, IPv4, Unicast, Unknown, , 0
1835, BBIX, Active, IPv4, Unicast, Unknown, , 0
1836, BBIX, Active, IPv4, Unicast, Unknown, , 0
1837, NicIX, Active, IPv4, Unicast, Available, , 3
1838, BENIN IX, Active, IPv4, Unicast, Available, 196.223.40/24, 6
1839, BFIX, Active, IPv4, Unicast, Unknown, 196.13.207.128/26, 8
1840, NAPAfrica, Active, IPv4, Unicast, Available, , 0
1841, AMS-IX Bay Area, Active, IPv4, Unicast, Available, , 24
1842, Mumbai CH, Active, IPv4, Unicast, Available, 103.27.170.0/24, 53
1843, SEY-IX, Planned, IPv4, Unicast, Available, , 0
1844, CCIT, Active, IPv4, Unicast, Available, 201.131.204.0/26, 10
1845, FL-IX, Active, IPv4, Unicast, Unknown, , 72
1847, AMS-IX Chicago, Active, IPv4, Unicast, Unknown, , 12
1848, ANGONIX, Active, IPv4, Unicast, Available, 196.11.234.0/24, 16
1849, ALB-IX, Active, IPv4, Unicast, Available, , 8
1850, Pacific-IX, Unknown, IPv4, Unicast, Mandatory, , 0
1851, TransACT-IX, Unknown, IPv4, Unicast, Unknown, , 0
1852, Equinix Toronto, Unknown, IPv4, Unicast, Unknown, , 0
1853, Content-IX, Active, IPv4, Unicast, Unknown, , 10
1854, Lillix, Active, IPv4, Unicast, Unknown, , 12
1855, BREM-IX, Active, IPv4, Unicast, Unknown, , 10
1856, DO-IX, Active, IPv4, Unicast, Unknown, , 8
1857, Echigo-IX, Active, IPv4, Unicast, Unknown, , 5
1858, T-LEX, Unknown, IPv4, Unicast, Unknown, , 0
1859, Rheintal IX, Active, IPv4, Unicast, Unknown, 91.232.229.0/24, 12
1860, DataIX Ufa, Active, IPv4, Unicast, Unknown, , 237
1861, DataIX Novosibirsk, Active, IPv4, Unicast, Unknown, , 0
1862, DataIX Khabarovsk, Active, IPv4, Unicast, Unknown, , 237
1863, OMSK-IX, Active, IPv4, Unicast, Available, , 15
1864, Pirix, Active, IPv4, Unicast, Available, , 50
1865, AFR-IX, Not an exchange, IPv4, Unicast, Unknown, , 0
1866, BKNIX, Active, IPv4, Unicast, Unknown, , 11
1867, Sea-IX, Active, IPv4, Unicast, Available, 91.240.225.0/24, 39
1868, KM-IX, Active, IPv4, Unicast, Unknown, 193.201.116.128/26, 6
1869, Big Horn Fiber, Active, IPv4, Unicast, Unknown, , 12
1870, CIIX, Active, IPv4, Both, Unknown, 198.32.146.0/24, 6
1871, CyrusOne, Active, IPv4, Unicast, Unknown, , 0
1872, SLIX, Active, IPv4, Unicast, Unknown, 204.228.158.0/24, 16
1873, SNAP, Active, IPv4, Unicast, Unknown, , 7
1874, SUPrnet, Active, IPv4, Unicast, Unknown, 209.33.201.176/28, 11
1875, TIE Atlanta, Active, IPv4, Unicast, Available, 198.32.132.0./24, 121
1876, TP-IX, Active, IPv4, Both, Available, 206.223.125.0/24, 0
1877, Hopus, Not an exchange, IPv4, Unicast, Unknown, , 25
1878, TahoeIX , Active, IPv4, Unicast, Unknown, 206.41.109.0/24, 12
1879, MegaPort-IX Auckland, Active, IPv4, Unicast, Available, 43.243.22.0/23, 4
1880, AKL-IX, Active, IPv4, Unicast, Unknown, , 0
1881, MGIX, Active, IPv4, Unicast, None, 196.223.41.0/24, 6
1882, YEGIX, Planned, IPv4, Unicast, Unknown, , 0
1883, ChIX, Active, IPv4, Unicast, Unknown, 206.41.110.0/24, 18
1884, IXPN - Abuja, Active, IPv4, Unicast, Mandatory, 196.216.150/24, 4
1885, IXPN - Port Harcourt, Active, IPv4, Unicast, Unknown, , 2
1886, IXPN - Kano, Planned, IPv4, Unicast, Unknown, , 0
1887, Gab-IX, Active, IPv4, Unicast, Unknown, , 4
1888, Mauritania IX, Planned, IPv4, Unicast, Unknown, , 0
1889, IX Brighton, Active, IPv4, Unicast, Available, , 5
1890, DE-CIX Sicily Hub, Planned, IPv4, Unicast, Unknown, , 0
1891, Midwest-IX, Active, IPv4, Unicast, Available, 206.53.139.0/24, 17
1892, T-CIX, Active, IPv4, Unicast, Available, 185.1.40.0/24, 20
1893, RVA-IX, Active, IPv4, Unicast, Available, 206.53.137.0/24, 6
1894, DE-CIX Marseille, Planned, IPv4, Unicast, Unknown, , 0
1895, DE-CIX Istanbul, Planned, IPv4, Unicast, Unknown, , 0
1896, SAIX, Active, IPv4, Unicast, Available, 185.1.43.0/24, 22
1897, LIXP, Active, IPv4, Unicast, None, 196.223.44.0/24, 6
1898, PNG-IXP, Active, IPv4, Unicast, Unknown, 202.165.202.187, 5
1899, Martinix, Unknown, IPv4, Unicast, Unknown, 194.254.208.158/27, 0
1900, OmahaIX, Active, IPv4, Unicast, Available, 206.126.235.0/26, 15
1902, Tehran IX, Active, IPv4, Unicast, None, , 24
1904, RIMIX, Planned, IPv4, Unicast, Unknown, , 0
1905, DET-IX, Active, IPv4, Unicast, Unknown, 209.124.52.0/24, 17
1906, CNX, Active, IPv4, Unicast, Available, 103.7.144.0/24, 24
1909, LubIX, Planned, IPv4, Unicast, Unknown, , 0
1910, GomIX, Planned, IPv4, Unicast, Unknown, , 0
1912, Mwanza IXP, Planned, IPv4, Unicast, Unknown, , 0
1913, CHN IX, Active, IPv4, Unicast, Unknown, , 2
1914, UP-IXP, Active, IPv4, Unicast, Unknown, 185.1.54.0/24, 13
1914, UP-IXP, Active, IPv4, Unicast, Unknown, 2001:7f8:95::/48, 0
1918, BIXP, Active, IPv4, Unicast, None, 10.31.2.0/24, 0
